INFORME DE COMPARACION IFC - BC3;;
Generado: 05/01/2026 11:41;;
;;
RESUMEN EJECUTIVO;;
398 errores y 136 avisos detectados;;
;;
ESTADISTICAS DE EMPAREJAMIENTO;;
Concepto;Valor;Descripcion
Tipos en modelo IFC;398;Familias/tipos encontrados en el archivo IFC
Partidas en presupuesto BC3;136;Elementos encontrados en el archivo BC3
Emparejados correctamente;0;Elementos que coinciden entre modelo y presupuesto
Solo en IFC (sin presupuestar);398;Elementos modelados pero no incluidos en presupuesto
Solo en BC3 (sin modelar);136;Partidas presupuestadas pero no modeladas
Tasa de emparejamiento;0.0%;Porcentaje de elementos emparejados
;;
RESULTADOS DE LA COMPARACION;;
Tipo;Codi/Nom;Estat
Error (Solo en IFC);Plataforma:Zahorra 30cm:349011;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355870;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0915 x 2134mm:422209;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:393332;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:393330;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0915 x 2134mm:422918:1;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393383;No trobat al BC3
Error (Solo en IFC);Barandilla:1100mm:386975;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:350232;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393592;No trobat al BC3
Error (Solo en IFC);PUERTA IKEMA BASICA:PI 1_3000x3000:361870:1;No trobat al BC3
Error (Solo en IFC);EST_FUN_VigaRiostra+HormLimpieza:VR_400x600_HormLimp_100 mm:414688;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355879;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Doorset_Emergency Exit Door_HardwareSet 3D:930x2110 (1070X2200):392475:1;No trobat al BC3
